사번,상급자 사번,성명,본부,처,부,직종명,직급명,직급,만나이,보직명,주요업무,최종학력,법인임용일,퇴직예정일,발령정보,포상이력,자격면허,징계이력,휴직이력
320779,root,박주식,본부,기획처,,,,,,기획처장,,,,,,,,,
317236,320779,권병수,본부,기획처,대외홍보팀,행정직,부장,5급,45,대외홍보팀장,"홍보,발전기금,
울산대미이어 총괄",대학원(석사) 졸업,2006-04-01,2040-02-28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 9개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.31) / 우수직원상 / 표창 / 울산대학교",(2010.05.10) / 노무사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 견책 / 경징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
312095,320779,마재경,본부,기획처,기획평가팀,행정직,,4급,,기획평가팀장,"기획평가팀 업무 총괄, 학사구조개편 및 정원조정, 연구윤리센터 업무 총괄",대학졸업,2003.03.01,2037.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 10개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.32) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
312084,320779,이동운,본부,기획처,대외혁신사업팀,행정직,,5급,,대외혁신사업팀장,"대외혁신사업팀 업무 총괄, 대학혁신지원사업 관리",대학원(석사)졸업,2005.03.01,2039.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 11개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.33) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
367488,320779,서보호,본부,기획처,대외홍보팀,행정직,,6급,,,"대외홍보 관리, 언론보도, 학생홍보대사 운영",대학졸업,2011.12.01,2046.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 12개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.34) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 서면경고 / 경징계 / 복무규정 위반,
429825,320779,손민지,본부,기획처,기획평가팀,행정직,,7급,,,"고등교육통계 및 대학정보공시, 대내외 감사, 정보공개청구, 대학입학전형 공정관리대책위원회",대학졸업,2020.06.01,2052.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 13개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.35) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
435844,320779,이태호,본부,기획처,기획평가팀,행정직,,8급,,,"대·내외 평가, 대학기관평가인증, 계약학과, 협약, 대학평의원회, 특수대학원위원회, RUCK행사",대학졸업,2020.12.01,2048.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 14개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.36) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
441111,320779,추종훈,본부,기획처,기획평가팀,행정직,,9급,,,"대학 발전계획, 직제, 정원 관리, 제 규정, 본부 회의, 국고 재정지원사업 검토 및 지원",대학졸업,2021.08.01,2056.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 15개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.37) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 서면경고 / 경징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
367288,320779,이원규,본부,기획처,대외홍보팀,행정직,,7급,,,"발전기금 조성 및 관리, 후원의 집 관리 및 운영, 기부자 예우 관리",대학졸업,2025.06.01,2053.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 16개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.38) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
320229,root,김해룡,본부,재무처,,,,,,,,,,,,,,,
205399,320229,노동우,본부,재무처,재무처,행정직,,4급,,재무부처장,"재무 부처장, 예산팀 업무총괄(교비, 산학협력단)",대학원(석사)졸업,1994.12.19,2031.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 18개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.38) / 우수직원상 / 표창 / 울산대학교",(2010.05.10) / 노무사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 견책 / 경징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
